Discipline,Category,Parameter,Name,Frequency,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,2,0,NLDN_CG_001min_AvgDensity,1-min,flashes/km^2/min,-1,n/a,-3,CG Average Lightning Density 1-min - NLDN,was NLDN_CG_001min; ConUS only
209,2,1,NLDN_CG_005min_AvgDensity,1-min,flashes/km^2/min,-1,n/a,-3,CG Average Lightning Density 5-min - NLDN,was NLDN_CG_005min; ConUS only
209,2,2,NLDN_CG_015min_AvgDensity,1-min,flashes/km^2/min,-1,n/a,-3,CG Average Lightning Density 15-min - NLDN,was NLDN_CG_015min; ConUS only
209,2,3,NLDN_CG_030min_AvgDensity,1-min,flashes/km^2/min,-1,n/a,-3,CG Average Lightning Density 30-min - NLDN,was NLDN_CG_030min; ConUS only
209,2,5,LightningProbabilityNext30minGrid,2-min,%,0,n/a,0,Lightning Probability 0-30 minutes - NLDN,NEW!  ConUS Only
209,2,6,LightningProbabilityNext60minGrid,2-min,%,0,n/a,0,Lightning Probability 0-30 minutes - NLDN,NEW!  ConUS Only
209,2,7,LightningJumpGrid,2-min,non-dim,-99900,n/a,-99903,Rapid lightning increases and decreases ,NEW!  ConUS Only
209,2,8,LightningJumpGrid_Max_005min,2-min,non-dim,-99900,n/a,-99903,Rapid lightning increases and decreases over 5-minutes ,NEW!  ConUS Only
209,3,0,MergedAzShear0to2kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 0-2km AGL,no Alaska product
209,3,1,MergedAzShear3to6kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 3-6km AGL,no Alaska product
209,3,2,RotationTrack30min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 30-min,no Alaska product
209,3,3,RotationTrack60min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 60-min,no Alaska product
209,3,4,RotationTrack120min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 120-min,no Alaska product
209,3,5,RotationTrack240min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 240-min,no Alaska product
209,3,6,RotationTrack360min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 360-min,no Alaska product
209,3,7,RotationTrack1440min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 1440-min,no Alaska product
209,3,14,RotationTrackML30min,2-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 30-min,no Alaska product
209,3,15,RotationTrackML60min,2-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 60-min,no Alaska product
209,3,16,RotationTrackML120min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 120-min,no Alaska product
209,3,17,RotationTrackML240min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 240-min,no Alaska product
209,3,18,RotationTrackML360min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 360-min,no Alaska product
209,3,19,RotationTrackML1440min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 1440-min,no Alaska product
209,3,26,SHI,2-min,index,-1,n/a,-3,Severe Hail Index,
209,3,27,POSH,2-min,%,-1,n/a,-3,Prob of Severe Hail,
209,3,28,MESH,2-min,mm,-1,n/a,-3,Maximum Estimated Size of Hail (MESH),
209,3,29,MESHMax30min,2-min,mm,-1,n/a,-3,MESH Hail Swath 30-min,
209,3,30,MESHMax60min,2-min,mm,-1,n/a,-3,MESH Hail Swath 60-min,
209,3,31,MESHMax120min,30-min,mm,-1,n/a,-3,MESH Hail Swath 120-min,
209,3,32,MESHMax240min,30-min,mm,-1,n/a,-3,MESH Hail Swath 240-min,
209,3,33,MESHMax360min,30-min,mm,-1,n/a,-3,MESH Hail Swath 360-min,
209,3,34,MESHMax1440min,30-min,mm,-1,n/a,-3,MESH Hail Swath 1440-min,
209,3,37,VIL_Max_120min,30-min,kg/m^2,-1,n/a,-3,VIL Swath 120-min,NEW!
209,3,40,VIL_Max_1440min,30-min,kg/m^2,-1,n/a,-3,VIL Swath 1440-min,NEW!
209,3,41,VIL,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Liquid,
209,3,42,VIL_Density,2-min,g/m^3,-1,n/a,-3,Vertically Integrated Liquid Density,
209,3,43,VII,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Ice,
209,3,44,EchoTop_18,2-min,km MSL,-1,n/a,-3,Echo Top - 18 dBZ,
209,3,45,EchoTop_30,2-min,km MSL,-1,n/a,-3,Echo Top - 30 dBZ,
209,3,46,EchoTop_50,2-min,km MSL,-1,n/a,-3,Echo Top - 50 dBZ,
209,3,47,EchoTop_60,2-min,km MSL,-1,n/a,-3,Echo Top - 60 dBZ,
209,3,48,H50AboveM20C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - (-20C)],
209,3,49,H50Above0C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - 0C],
209,3,50,H60AboveM20C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - (-20C)],
209,3,51,H60Above0C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - 0C],
209,3,52,Reflectivity_0C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at 0C,
209,3,53,Reflectivity_-5C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -5C,
209,3,54,Reflectivity_-10C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -10C,
209,3,55,Reflectivity_-15C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -15C,
209,3,56,Reflectivity_-20C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -20C,
209,3,57,ReflectivityAtLowestAltitude,2-min,dBZ,-99,n/a,-999,ReflectivityAtLowestAltitude,
209,3,57,ReflectivityAtLowestAltitude5km,2-min,dBZ,-99,n/a,-999,ReflectivityAtLowestAltitude resampled from 1 to 5km resolution,ConUS only
209,3,58,MergedReflectivityAtLowestAltitude,2-min,dBZ,-99,n/a,-999,Non Quality Controlled Reflectivity At Lowest Altitude,
209,6,0,PrecipFlag,2-min,flag,-1,n/a,-3,"Surface Precipitation Type (Convective, Stratiform, Tropical, Hail, Snow)",see flag table
209,6,1,PrecipRate,2-min,mm/hr,-1,n/a,-3,Radar Precipitation Rate,
209,6,2,RadarOnly_QPE_01H,2-min,mm,-1,n/a,-3,Radar precipitation accumulation 1-hour,
209,6,3,RadarOnly_QPE_03H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 3-hour,
209,6,4,RadarOnly_QPE_06H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 6-hour,
209,6,5,RadarOnly_QPE_12H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 12-hour,
209,6,6,RadarOnly_QPE_24H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 24-hour,
